date,store_id,category,total_transactions,cash_transactions,card_transactions,amount_total,amount_cash,amount_card,units_sold,avg_ticket,has_promotion,replenishment_signal
2023-01-31,STR_001,Abarrotes,2318,1362.0,956,683452.24,394284.14,289168.1,4492.0,294.85,0,1811.29
2023-02-01,STR_001,Abarrotes,1777,946.0,831,541661.43,281363.69,260297.74,4271.0,304.82,0,1801.14
2023-02-02,STR_001,Abarrotes,1308,716.0,592,340468.78,184856.79,155611.99,3155.0,260.3,0,1900.43
2023-02-03,STR_001,Abarrotes,1715,903.0,812,468924.13,249630.82,219293.31,2621.0,273.43,0,1987.43
2023-02-04,STR_001,Abarrotes,3151,1686.0,1465,936167.05,507582.87,428584.18,8453.0,297.1,0,2066.29
2023-02-05,STR_001,Abarrotes,2817,1282.0,891,424245.45,250201.48,174043.97,4226.0,195.23,1,1959.29
2023-02-06,STR_001,Abarrotes,629,366.0,263,150901.55,89284.04,61617.51,1133.0,239.91,0,1848.0
2023-02-07,STR_001,Abarrotes,1539,,684,381571.82,,168157.68,2824.0,247.93,0,1851.57
2023-02-08,STR_001,Abarrotes,1802,853.0,949,502114.49,230690.24,271424.25,4975.0,278.64,0,1859.43
2023-02-09,STR_001,Abarrotes,1363,661.0,702,289212.96,140530.81,148682.15,,212.19,0,1839.57
2023-02-10,STR_001,Abarrotes,1576,793.0,783,327810.73,158861.45,168949.28,2391.0,208.0,0,1857.57
2023-02-11,STR_001,Abarrotes,3277,1374.0,1335,711474.23,354140.97,357333.26,4433.0,262.63,1,1788.14
2023-02-12,STR_001,Abarrotes,2331,1193.0,1138,716099.0,382579.8,333519.2,4082.0,307.21,0,1852.71
2023-02-13,STR_001,Abarrotes,1081,427.0,475,272121.88,129064.1,143057.78,2251.0,301.69,1,1912.86
2023-02-14,STR_001,Abarrotes,1960,785.0,771,323189.08,161404.87,161784.21,1954.0,207.71,1,1933.29
2023-02-15,STR_001,Abarrotes,1945,1077.0,868,416914.31,237672.56,179241.75,5323.0,214.35,0,1994.86
2023-02-16,STR_001,Abarrotes,1794,854.0,940,384243.06,189617.39,194625.67,4294.0,214.18,0,2030.57
2023-02-17,STR_001,Abarrotes,1826,1087.0,739,484234.63,299276.74,184957.89,4056.0,265.19,0,1866.0
2023-02-18,STR_001,Abarrotes,2125,1150.0,975,551286.78,286013.24,265273.54,3306.0,259.43,0,1833.71
2023-02-19,STR_001,Abarrotes,2105,1202.0,903,585225.7,338907.03,246318.67,3914.0,278.02,0,1875.14
2023-02-20,STR_001,Abarrotes,1371,785.0,586,350707.55,205809.87,144897.68,2376.0,255.8,0,1764.43
2023-02-21,STR_001,Abarrotes,1185,740.0,445,244200.58,149450.78,94749.8,2326.0,206.08,0,1714.29
2023-02-22,STR_001,Abarrotes,1594,766.0,828,273505.49,132929.72,140575.77,3480.0,171.58,0,1654.14
2023-02-23,STR_001,Abarrotes,1373,658.0,715,449507.17,220889.76,228617.41,2273.0,327.39,0,1717.71
2023-02-24,STR_001,Abarrotes,2271,826.0,927,473809.11,219790.95,254018.16,3285.0,270.28,1,1732.71
2023-02-25,STR_001,Abarrotes,2230,1138.0,1092,583788.97,308626.61,275162.36,4275.0,261.79,0,1725.57
2023-02-26,STR_001,Abarrotes,2055,1203.0,852,448316.53,258286.4,190030.13,3001.0,218.16,0,1726.14
2023-02-27,STR_001,Abarrotes,1375,826.0,549,400933.04,251189.77,149743.27,1857.0,291.59,0,1924.14
2023-02-28,STR_001,Abarrotes,2571,1236.0,735,470465.55,284466.73,185998.82,4025.0,238.69,1,1960.71
2023-03-01,STR_001,Abarrotes,1850,726.0,671,331153.31,171277.11,159876.2,2606.0,237.05,1,1989.0
2023-03-02,STR_001,Abarrotes,1571,940.0,631,445145.31,264462.02,180683.29,3640.0,283.35,0,2105.29
2023-03-03,STR_001,Abarrotes,3085,1244.0,1162,587886.78,310906.38,276980.4,3053.0,244.34,1,2171.0
2023-03-04,STR_001,Abarrotes,2690,1625.0,1065,733762.2,440083.78,293678.42,6196.0,272.77,0,2206.0
2023-03-05,STR_001,Abarrotes,2300,1251.0,1049,698846.81,372717.98,326128.83,3683.0,303.85,0,2219.71
2023-03-06,STR_001,Abarrotes,1471,760.0,711,444697.28,239679.37,205017.91,3370.0,302.31,0,2081.86
2023-03-07,STR_001,Abarrotes,1606,878.0,728,364973.6,190533.65,174439.95,2966.0,227.26,0,2023.0
2023-03-08,STR_001,Abarrotes,1438,792.0,646,462637.26,244758.73,217878.53,2503.0,321.72,0,2039.0
2023-03-09,STR_001,Abarrotes,1683,667.0,690,307138.33,151700.21,155438.12,2095.0,226.34,1,1955.86
2023-03-10,STR_001,Abarrotes,2503,1180.0,1323,680529.61,319661.03,360868.58,3127.0,271.89,0,1945.71
2023-03-11,STR_001,Abarrotes,2619,1278.0,1341,619235.7,314659.24,304576.46,3514.0,236.44,0,1984.43
2023-03-12,STR_001,Abarrotes,2571,1304.0,1267,730866.34,370564.89,360301.45,6737.0,284.27,0,1974.14
2023-03-13,STR_001,Abarrotes,1399,670.0,729,310351.09,148144.91,162206.18,3053.0,221.84,0,1981.29
2023-03-14,STR_001,Abarrotes,1656,768.0,546,407133.46,247298.81,159834.65,2060.0,309.84,1,2055.71
2023-03-15,STR_001,Abarrotes,1959,1032.0,927,474346.66,242545.71,231800.95,2935.0,242.14,0,2063.0
2023-03-16,STR_001,Abarrotes,1734,,890,398116.73,,201668.97,3055.0,229.59,0,1953.43
2023-03-17,STR_001,Abarrotes,1736,1076.0,660,476537.63,300656.82,175880.81,2233.0,274.5,0,1918.86
2023-03-18,STR_001,Abarrotes,2377,1370.0,1007,710389.61,419583.3,290806.31,4593.0,298.86,0,2024.0
2023-03-19,STR_001,Abarrotes,3307,1594.0,1713,975788.98,456416.58,519372.4,7265.0,295.07,0,2000.71
2023-03-20,STR_001,Abarrotes,1236,653.0,412,300467.0,183710.32,116756.68,1825.0,282.13,1,1970.86
2023-03-21,STR_001,Abarrotes,1447,707.0,740,434385.39,212360.94,222024.45,3633.0,300.2,0,1917.57
2023-03-22,STR_001,Abarrotes,1586,818.0,768,412066.64,218098.5,193968.14,3674.0,259.82,0,1939.71
2023-03-23,STR_001,Abarrotes,1889,859.0,638,366274.09,204891.12,161382.97,,244.67,1,2000.0
2023-03-24,STR_001,Abarrotes,2158,1121.0,1037,530968.41,274538.76,256429.65,4477.0,246.05,0,2103.71
2023-03-25,STR_001,Abarrotes,3103,1549.0,1554,730371.82,351066.43,379305.39,7143.0,235.38,0,2025.57
2023-03-26,STR_001,Abarrotes,2760,1444.0,1023,748055.87,446204.39,301851.48,3340.0,303.22,1,2054.43
2023-03-27,STR_001,Abarrotes,1438,891.0,547,346551.88,217935.08,128616.8,3861.0,241.0,0,2094.57
2023-03-28,STR_001,Abarrotes,1728,859.0,536,329563.78,211441.94,118121.84,2343.0,236.25,1,2083.71
2023-03-29,STR_001,Abarrotes,1510,787.0,723,419160.33,222059.81,197100.52,1893.0,277.59,0,2147.14
2023-03-30,STR_001,Abarrotes,2333,1138.0,793,577911.11,326466.34,251444.77,3278.0,299.28,1,2111.86
2023-03-31,STR_001,Abarrotes,1911,1006.0,905,480304.76,252354.6,227950.16,,251.34,0,2236.43
2023-04-01,STR_001,Abarrotes,3975,1475.0,1648,758184.94,373380.52,384804.42,4121.0,242.77,1,2333.86
2023-04-02,STR_001,Abarrotes,3442,1555.0,1220,702256.57,412586.86,289669.71,4430.0,253.07,1,2324.0
2023-04-03,STR_001,Abarrotes,1369,710.0,659,286533.21,147700.45,138832.76,2622.0,209.3,0,2316.0
2023-04-04,STR_001,Abarrotes,1672,858.0,814,540837.97,283287.67,257550.3,4649.0,323.47,0,2349.0
2023-04-05,STR_001,Abarrotes,1741,1101.0,640,534770.22,350089.08,184681.14,4495.0,307.16,0,2224.29
2023-04-06,STR_001,Abarrotes,1460,903.0,557,330376.79,202097.21,128279.58,2883.0,226.29,0,2162.0
2023-04-07,STR_001,Abarrotes,1475,893.0,582,397673.16,242221.05,155452.11,3858.0,269.61,0,1987.29
2023-04-08,STR_001,Abarrotes,2752,1313.0,1439,561059.6,278616.61,282442.99,7221.0,203.87,0,1883.29
2023-04-09,STR_001,Abarrotes,2714,1403.0,1311,666676.02,328259.66,338416.36,5124.0,245.64,0,1891.14
2023-04-10,STR_001,Abarrotes,1424,800.0,624,440135.12,239040.14,201094.98,3930.0,309.08,0,1857.14
2023-04-11,STR_001,Abarrotes,1434,827.0,607,384789.53,231672.66,153116.87,3926.0,268.33,0,1867.29
2023-04-12,STR_001,Abarrotes,1812,853.0,959,504504.02,241440.34,263063.68,3999.0,278.42,0,1901.14
2023-04-13,STR_001,Abarrotes,1697,984.0,713,435781.65,256543.3,179238.35,3687.0,256.8,0,1986.57
2023-04-14,STR_001,Abarrotes,2073,970.0,1103,664249.87,295896.58,368353.29,3875.0,320.43,0,2152.29
2023-04-15,STR_001,Abarrotes,3912,2084.0,1828,991987.67,529439.8,462547.87,8104.0,253.58,0,2139.71
2023-04-16,STR_001,Abarrotes,2626,1643.0,983,752672.32,481042.7,271629.62,3440.0,286.62,0,2105.14
2023-04-17,STR_001,Abarrotes,1182,747.0,435,288213.92,180744.4,107469.52,1570.0,243.84,0,2140.57
2023-04-18,STR_001,Abarrotes,1682,970.0,712,507976.51,304817.04,203159.47,3393.0,302.01,0,2094.86
2023-04-19,STR_001,Abarrotes,1492,745.0,501,338204.26,206164.4,132039.86,3309.0,271.43,1,2070.71
2023-04-20,STR_001,Abarrotes,1528,791.0,737,420896.01,209071.48,211824.53,3574.0,275.46,0,2079.71
2023-04-21,STR_001,Abarrotes,2136,1136.0,1000,525590.83,266487.28,259103.55,3872.0,246.06,0,1887.71
2023-04-22,STR_001,Abarrotes,2568,1460.0,1108,747966.88,431794.21,316172.67,6774.0,291.26,0,1860.86
2023-04-23,STR_001,Abarrotes,2438,1281.0,929,634734.15,385424.96,249309.19,5072.0,287.21,1,1938.57
2023-04-24,STR_001,Abarrotes,1726,816.0,910,382850.09,189256.79,193593.3,,221.81,0,1891.29
2023-04-25,STR_001,Abarrotes,1351,763.0,588,320578.19,179295.05,141283.14,2582.0,237.29,0,1887.71
2023-04-26,STR_001,Abarrotes,1467,909.0,558,441312.96,285475.81,155837.15,1919.0,300.83,0,1885.71
2023-04-27,STR_001,Abarrotes,1514,827.0,687,367505.34,193650.49,173854.85,2863.0,242.74,0,1971.86
2023-04-28,STR_001,Abarrotes,2739,1289.0,1450,684624.12,321170.63,363453.49,5896.0,249.95,0,2037.57
2023-04-29,STR_001,Abarrotes,3028,1566.0,1462,813933.57,413143.89,400789.68,7886.0,268.8,0,2300.0
2023-04-30,STR_001,Abarrotes,4275,2583.0,1692,830284.93,499619.9,330665.03,9479.0,194.22,0,2175.86
2023-05-01,STR_001,Abarrotes,857,443.0,414,221772.51,111718.3,110054.21,1144.0,258.78,0,2218.57
2023-05-02,STR_001,Abarrotes,1650,955.0,695,435952.03,258533.54,177418.49,4012.0,264.21,0,2252.14
2023-05-03,STR_001,Abarrotes,1702,862.0,840,540654.79,280114.58,260540.21,2594.0,317.66,0,2325.0
2023-05-04,STR_001,Abarrotes,2024,1057.0,967,554749.3,282900.97,271848.33,3312.0,274.09,0,2340.57
2023-05-05,STR_001,Abarrotes,2848,1456.0,965,542736.77,338641.08,204095.69,3965.0,224.18,1,2415.29
2023-05-06,STR_001,Abarrotes,3551,1911.0,1640,904536.05,479306.88,425229.17,8769.0,254.73,0,2193.86
2023-05-07,STR_001,Abarrotes,2725,1402.0,1323,787347.43,386308.12,401039.31,5202.0,288.93,0,2311.0
2023-05-08,STR_001,Abarrotes,1677,869.0,808,576646.6,311250.47,265396.13,3582.0,343.86,0,2311.14
2023-05-09,STR_001,Abarrotes,1651,919.0,732,410242.93,233253.88,176989.05,2706.0,248.48,0,2342.0
2023-05-10,STR_001,Abarrotes,1918,1043.0,875,503450.32,260722.19,242728.13,3156.0,262.49,0,2298.86
2023-05-11,STR_001,Abarrotes,1722,931.0,791,441677.65,243377.87,198299.78,3391.0,256.49,0,2188.43
2023-05-12,STR_001,Abarrotes,2075,1229.0,846,552216.22,336477.03,215739.19,3323.0,266.13,0,2091.14
2023-05-13,STR_001,Abarrotes,2870,1517.0,1353,839724.69,423044.62,416680.07,6296.0,292.59,0,2040.43
2023-05-14,STR_001,Abarrotes,2370,1408.0,962,578504.73,328008.58,250496.15,4510.0,244.09,0,2156.29
2023-05-15,STR_001,Abarrotes,2488,1225.0,1263,722089.96,351902.46,370187.5,3964.0,290.23,0,2159.29
2023-05-16,STR_001,Abarrotes,1672,878.0,794,473660.3,240631.27,233029.03,3561.0,283.29,0,2102.57
2023-05-17,STR_001,Abarrotes,1521,944.0,577,453462.61,288945.01,164517.6,1956.0,298.13,0,2042.86
2023-05-18,STR_001,Abarrotes,1304,712.0,592,378155.55,197449.61,180705.94,1572.0,290.0,0,2114.57
2023-05-19,STR_001,Abarrotes,2577,,1082,779925.02,,319550.87,6722.0,,0,2173.14
2023-05-20,STR_001,Abarrotes,3280,1966.0,1314,838895.34,498096.33,340799.01,6061.0,255.76,0,2110.57
2023-05-21,STR_001,Abarrotes,1932,1196.0,736,607075.12,392958.04,214117.08,5023.0,314.22,0,2076.29
2023-05-22,STR_001,Abarrotes,2248,1119.0,1129,609778.47,301269.08,308509.39,3600.0,271.25,0,2095.14
2023-05-23,STR_001,Abarrotes,1804,864.0,940,363253.1,178302.28,184950.82,4087.0,201.36,0,2193.57
2023-05-24,STR_001,Abarrotes,2210,908.0,913,394932.86,202420.47,192512.39,2435.0,216.88,1,2271.43
2023-05-25,STR_001,Abarrotes,1849,1014.0,835,444770.23,231866.86,212903.37,4977.0,240.55,0,2291.0
2023-05-26,STR_001,Abarrotes,2714,1384.0,1026,659430.38,362164.91,297265.47,5534.0,273.62,1,2330.86
2023-05-27,STR_001,Abarrotes,3559,1818.0,1084,835098.01,498232.2,336865.81,4665.0,287.77,1,2425.0
2023-05-28,STR_001,Abarrotes,2591,1339.0,1252,778891.37,397265.07,381626.3,3113.0,300.61,0,2325.71
2023-05-29,STR_001,Abarrotes,1553,947.0,606,445798.38,261734.16,184064.22,4304.0,287.06,0,2327.43
2023-05-30,STR_001,Abarrotes,1816,863.0,953,422718.33,196603.35,226114.98,4072.0,232.77,0,2312.57
2023-05-31,STR_001,Abarrotes,2106,,970,529076.91,,232745.58,4026.0,251.22,0,2352.43
2023-06-01,STR_001,Abarrotes,2128,1000.0,1128,599580.04,273171.74,326408.3,5173.0,281.76,0,2256.71
2023-06-02,STR_001,Abarrotes,2044,1253.0,791,550646.1,331563.26,219082.84,5416.0,269.4,0,2211.43
2023-06-03,STR_001,Abarrotes,3242,,1328,956041.02,,393310.89,6034.0,294.89,0,2253.57
2023-06-04,STR_001,Abarrotes,2886,1663.0,1223,737735.46,421446.55,316288.91,6257.0,255.63,0,2294.57
2023-06-05,STR_001,Abarrotes,1840,745.0,796,316655.72,153281.03,163374.69,3016.0,205.49,1,2265.29
2023-06-06,STR_001,Abarrotes,1611,622.0,639,359320.94,176844.77,182476.17,2738.0,284.95,1,2318.14
2023-06-07,STR_001,Abarrotes,2476,1374.0,1102,662822.62,359143.03,303679.59,5326.0,267.7,0,2440.29
2023-06-08,STR_001,Abarrotes,2983,1421.0,1050,697151.82,399137.27,298014.55,4775.0,282.13,1,2521.43
2023-06-09,STR_001,Abarrotes,2612,1384.0,1228,773070.15,408935.03,364135.12,3586.0,295.97,0,2641.14
2023-06-10,STR_001,Abarrotes,4080,2092.0,1331,943594.05,554587.64,389006.41,9167.0,275.66,1,2881.57
2023-06-11,STR_001,Abarrotes,4569,2100.0,1337,776231.52,461290.01,314941.51,5712.0,225.85,1,2897.0
2023-06-12,STR_001,Abarrotes,1948,1049.0,899,427708.26,241371.55,186336.71,2740.0,219.56,0,2977.71
2023-06-13,STR_001,Abarrotes,2176,1247.0,929,479142.39,278705.26,200437.13,5303.0,220.19,0,2936.0
2023-06-14,STR_001,Abarrotes,2184,,1008,555702.97,,255645.96,5456.0,254.44,0,2886.86
2023-06-15,STR_001,Abarrotes,2639,1466.0,1173,756829.94,407626.86,349203.08,5009.0,286.79,0,2898.57
2023-06-16,STR_001,Abarrotes,2694,1162.0,1046,604415.21,331436.92,272978.29,4949.0,273.74,1,2873.43
2023-06-17,STR_001,Abarrotes,3904,1762.0,1244,953064.35,581430.99,371633.36,8373.0,317.05,1,2712.86
2023-06-18,STR_001,Abarrotes,3445,1840.0,1605,825684.64,441410.41,384274.23,6721.0,239.68,0,2705.71
2023-06-19,STR_001,Abarrotes,1898,1061.0,837,463461.26,271342.28,192118.98,4414.0,244.18,0,2692.86
2023-06-20,STR_001,Abarrotes,2086,1047.0,1039,517975.75,252489.36,265486.39,2563.0,248.31,0,2662.0
2023-06-21,STR_001,Abarrotes,1968,993.0,975,537123.02,276169.82,260953.2,3837.0,272.93,0,2558.43
2023-06-22,STR_001,Abarrotes,1914,1042.0,872,449512.53,250468.02,199044.51,5279.0,234.86,0,2625.86
2023-06-23,STR_001,Abarrotes,3166,1820.0,1346,991890.69,559018.06,432872.63,,313.29,0,2502.86
2023-06-24,STR_001,Abarrotes,3043,1851.0,1192,840497.32,530453.41,310043.91,4770.0,276.21,0,2459.86
2023-06-25,STR_001,Abarrotes,3144,1887.0,1257,953735.39,559107.68,394627.71,4242.0,303.35,0,2380.57
2023-06-26,STR_001,Abarrotes,1343,803.0,540,360769.35,207556.66,153212.69,3121.0,268.63,0,2513.71
2023-06-27,STR_001,Abarrotes,3018,1299.0,1198,672107.66,347377.03,324730.63,5725.0,269.17,1,2430.0
2023-06-28,STR_001,Abarrotes,1382,682.0,700,394593.43,201666.08,192927.35,,285.52,0,2394.29
2023-06-29,STR_001,Abarrotes,1664,810.0,615,398303.68,225395.87,172907.81,3287.0,279.51,1,2458.29
2023-06-30,STR_001,Abarrotes,3614,2080.0,1534,950387.47,544416.19,405971.28,8495.0,262.97,0,2440.57
2023-07-01,STR_001,Abarrotes,2919,1816.0,1103,669463.67,397060.5,272403.17,6185.0,229.35,0,2441.57
2023-07-02,STR_001,Abarrotes,3151,1644.0,1507,980930.86,491950.22,488980.64,4877.0,311.31,0,2507.0
2023-07-03,STR_001,Abarrotes,1801,879.0,922,538804.6,250185.8,288618.8,3895.0,299.17,0,2358.14
2023-07-04,STR_001,Abarrotes,1976,971.0,722,521092.08,310986.59,210105.49,3557.0,307.79,1,2362.14
2023-07-05,STR_001,Abarrotes,1410,717.0,693,350923.75,179540.88,171382.87,1753.0,248.88,0,2421.71
2023-07-06,STR_001,Abarrotes,2081,998.0,1083,640568.68,292010.98,348557.7,4888.0,307.82,0,2316.29
2023-07-07,STR_001,Abarrotes,2876,1526.0,1350,864844.29,459344.07,405500.22,4793.0,300.71,0,2292.57
2023-07-08,STR_001,Abarrotes,2753,1648.0,1105,637302.22,386559.69,250742.53,6636.0,231.49,0,2194.0
2023-07-09,STR_001,Abarrotes,2461,1244.0,1217,605971.46,303220.87,302750.59,,246.23,0,2234.86
2023-07-10,STR_001,Abarrotes,2087,1099.0,730,596958.3,371459.94,225498.36,4988.0,326.39,1,2194.57
2023-07-11,STR_001,Abarrotes,1694,868.0,826,411711.76,210805.91,200905.85,4190.0,243.04,0,2277.43
2023-07-12,STR_001,Abarrotes,1990,1255.0,735,558289.2,342301.15,215988.05,3014.0,280.55,0,2236.29
2023-07-13,STR_001,Abarrotes,1793,933.0,860,470957.97,255185.35,215772.62,3178.0,262.66,0,2282.57
2023-07-14,STR_001,Abarrotes,3200,1482.0,1188,637086.38,338504.77,298581.61,6566.0,238.61,1,2480.14
2023-07-15,STR_001,Abarrotes,4136,1971.0,2165,1178790.61,563818.42,614972.19,7211.0,285.01,0,2708.43
2023-07-16,STR_001,Abarrotes,4059,1647.0,1482,833350.65,458167.34,375183.31,4068.0,266.33,1,2653.29
2023-07-17,STR_001,Abarrotes,1701,,776,433454.65,,207038.95,2579.0,,0,2612.57
2023-07-18,STR_001,Abarrotes,1409,784.0,625,326590.78,187301.52,139289.26,1946.0,231.79,0,2598.29
2023-07-19,STR_001,Abarrotes,1890,917.0,973,482199.27,239659.23,242540.04,3272.0,255.13,0,2680.43
2023-07-20,STR_001,Abarrotes,2368,992.0,1009,410521.13,195114.11,215407.02,3653.0,205.16,1,2574.14
2023-07-21,STR_001,Abarrotes,2456,1163.0,1293,654524.86,322529.09,331995.77,6785.0,266.5,0,2498.0
2023-07-22,STR_001,Abarrotes,3603,,1336,777314.79,,319041.6,7464.0,254.69,1,2227.57
2023-07-23,STR_001,Abarrotes,2166,1024.0,1142,595050.16,276454.05,318596.11,5041.0,274.72,0,2218.86
2023-07-24,STR_001,Abarrotes,1640,839.0,801,363749.57,193746.28,170003.29,4520.0,221.8,0,2255.43
2023-07-25,STR_001,Abarrotes,1665,843.0,822,415302.73,200709.09,214593.64,3436.0,249.43,0,2226.0
2023-07-26,STR_001,Abarrotes,1684,1025.0,659,425698.31,269547.13,156151.18,4307.0,252.79,0,2155.0
2023-07-27,STR_001,Abarrotes,1871,1136.0,735,509010.72,300986.91,208023.81,4379.0,272.05,0,2157.14
2023-07-28,STR_001,Abarrotes,2471,1558.0,913,704182.91,456885.3,247297.61,3544.0,284.98,0,2178.43
2023-07-29,STR_001,Abarrotes,3752,2133.0,1619,918539.62,502722.72,415816.9,7503.0,244.81,0,2379.43
2023-07-30,STR_001,Abarrotes,3573,1714.0,1859,879478.75,413669.61,465809.14,6339.0,246.15,0,2528.29
2023-07-31,STR_001,Abarrotes,2682,1133.0,1120,639208.35,312281.24,326927.11,4948.0,283.71,1,2547.29
2023-08-01,STR_001,Abarrotes,1798,1089.0,709,597149.86,376256.6,220893.26,3434.0,332.12,0,2580.43
2023-08-02,STR_001,Abarrotes,1916,972.0,944,515159.35,266828.74,248330.61,3313.0,268.87,0,2613.71
2023-08-03,STR_001,Abarrotes,2104,,860,539853.32,,214181.13,5675.0,256.58,0,2663.14
2023-08-04,STR_001,Abarrotes,2817,1198.0,1218,764141.41,363828.96,400312.45,4210.0,316.28,1,2715.14
2023-08-05,STR_001,Abarrotes,4116,,1550,873086.83,,333174.78,9539.0,212.12,0,2563.0
2023-08-06,STR_001,Abarrotes,2508,1335.0,1173,711786.95,368747.2,343039.75,3901.0,283.81,0,2533.0
2023-08-07,STR_001,Abarrotes,2472,1049.0,789,471498.55,267697.2,203801.35,2801.0,256.53,1,2487.57
2023-08-08,STR_001,Abarrotes,1480,910.0,570,467704.19,299808.09,167896.1,3007.0,316.02,0,2495.43
2023-08-09,STR_001,Abarrotes,1971,1238.0,733,466106.78,285941.08,180165.7,,236.48,0,2452.14
2023-08-10,STR_001,Abarrotes,1801,1108.0,693,517372.02,303369.28,214002.74,3049.0,287.27,0,2414.71
2023-08-11,STR_001,Abarrotes,2555,1254.0,1301,710449.25,333025.2,377424.05,6761.0,278.06,0,2332.29
2023-08-12,STR_001,Abarrotes,3539,1880.0,1659,798255.4,427560.26,370695.14,6678.0,225.56,0,2352.57
2023-08-13,STR_001,Abarrotes,2650,1662.0,988,848725.56,535034.88,313690.68,6529.0,320.27,0,2222.14
2023-08-14,STR_001,Abarrotes,1559,,662,425130.13,,172116.73,,,0,2477.71
2023-08-15,STR_001,Abarrotes,3269,1463.0,1153,684585.98,364412.5,320173.48,6394.0,261.69,1,2599.71
2023-08-16,STR_001,Abarrotes,2825,1246.0,1318,809516.14,378135.78,431380.36,4131.0,315.72,1,2613.43
2023-08-17,STR_001,Abarrotes,1897,1012.0,885,442099.99,236428.4,205671.59,2344.0,233.05,0,2755.0
2023-08-18,STR_001,Abarrotes,3546,1389.0,1429,810363.27,405134.58,405228.69,3696.0,287.57,1,2811.43
2023-08-19,STR_001,Abarrotes,3934,2138.0,1796,1071446.55,571949.95,499496.6,,272.36,0,2770.29
2023-08-20,STR_001,Abarrotes,2362,1154.0,1208,606631.74,289166.01,317465.73,2955.0,256.83,0,2723.71
2023-08-21,STR_001,Abarrotes,1233,729.0,504,329266.87,202956.83,126310.04,3433.0,267.05,0,2562.29
